2023-11-20 09:13:58.055 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-20 09:13:58.056 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-20 09:13:58.096 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-20 09:13:58.096 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 662 ms
2023-11-20 09:13:58.441 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@cfcc296, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@9d088c5, org.springframework.security.web.context.SecurityContextPersistenceFilter@b5ff849, org.springframework.security.web.header.HeaderWriterFilter@3646892f, org.springframework.security.web.authentication.logout.LogoutFilter@795612d6, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@45b8023e, org.springframework.security.web.session.ConcurrentSessionFilter@64d3bf3a, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4538d69, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3b4b3f44, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2474276e, org.springframework.security.web.session.SessionManagementFilter@72b2c776, org.springframework.security.web.access.ExceptionTranslationFilter@766f4b44, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@7d7ba57b]
2023-11-20 09:13:58.528 INFO  [restartedMain] [o.s.b.a.w.s.WelcomePageHandlerMapping] - Adding welcome page template: index
2023-11-20 09:13:58.644 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-20 09:13:58.659 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8085"]
2023-11-20 09:13:58.676 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8085 (http) with context path ''
2023-11-20 09:13:58.687 INFO  [restartedMain] [com.shop.ShopApplication] - Started ShopApplication in 1.693 seconds (JVM running for 2.065)
2023-11-20 09:14:00.690 INFO  [http-nio-8085-exec-3] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-11-20 09:14:00.690 INFO  [http-nio-8085-exec-3] [o.s.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
2023-11-20 09:14:00.691 INFO  [http-nio-8085-exec-3] [o.s.web.servlet.DispatcherServlet] - Completed initialization in 1 ms
2023-11-20 09:14:00.724 INFO  [http-nio-8085-exec-3] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Starting...
2023-11-20 09:14:00.766 INFO  [http-nio-8085-exec-3] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Start completed.
2023-11-20 09:22:33.940 INFO  [SpringApplicationShutdownHook] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown initiated...
2023-11-20 09:22:33.943 INFO  [SpringApplicationShutdownHook] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown completed.
2023-11-20 09:22:36.098 INFO  [background-preinit] [o.h.validator.internal.util.Version] - HV000001: Hibernate Validator 6.2.5.Final
2023-11-20 09:22:36.108 INFO  [restartedMain] [com.shop.ShopApplication] - Starting ShopApplication using Java 17.0.7 on FULL8-006 with PID 15344 (D:\kuyejin\team_pro5\team25\build\classes\java\main started by db400tea in D:\kuyejin\team_pro5\team25)
2023-11-20 09:22:36.108 INFO  [restartedMain] [com.shop.ShopApplication] - No active profile set, falling back to 1 default profile: "default"
2023-11-20 09:22:36.271 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-20 09:22:36.272 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-20 09:22:37.009 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8085 (http)
2023-11-20 09:22:37.014 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8085"]
2023-11-20 09:22:37.015 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-20 09:22:37.015 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-20 09:22:37.056 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-20 09:22:37.056 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 784 ms
2023-11-20 09:22:37.337 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@7abfc773, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6639b107, org.springframework.security.web.context.SecurityContextPersistenceFilter@fbb3f84, org.springframework.security.web.header.HeaderWriterFilter@284f540f, org.springframework.security.web.authentication.logout.LogoutFilter@1c8c24cf, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@1f006340, org.springframework.security.web.session.ConcurrentSessionFilter@37bb292a, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2d80944e, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@74348ff7, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6224ecb1, org.springframework.security.web.session.SessionManagementFilter@323abdad, org.springframework.security.web.access.ExceptionTranslationFilter@6025a822, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@b6d40f9]
2023-11-20 09:22:37.418 INFO  [restartedMain] [o.s.b.a.w.s.WelcomePageHandlerMapping] - Adding welcome page template: index
2023-11-20 09:22:37.534 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-20 09:22:37.542 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8085"]
2023-11-20 09:22:37.552 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8085 (http) with context path ''
2023-11-20 09:22:37.558 INFO  [restartedMain] [com.shop.ShopApplication] - Started ShopApplication in 1.654 seconds (JVM running for 2.154)
2023-11-20 09:22:37.750 INFO  [http-nio-8085-exec-1] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-11-20 09:22:37.750 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
2023-11-20 09:22:37.751 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Completed initialization in 1 ms
2023-11-20 09:22:37.784 INFO  [http-nio-8085-exec-1] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Starting...
2023-11-20 09:22:37.826 INFO  [http-nio-8085-exec-1] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Start completed.
2023-11-20 09:27:22.559 INFO  [SpringApplicationShutdownHook] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown initiated...
2023-11-20 09:27:22.561 INFO  [SpringApplicationShutdownHook] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown completed.
2023-11-20 09:27:25.841 INFO  [background-preinit] [o.h.validator.internal.util.Version] - HV000001: Hibernate Validator 6.2.5.Final
2023-11-20 09:27:25.844 INFO  [restartedMain] [com.shop.ShopApplication] - Starting ShopApplication using Java 17.0.7 on FULL8-006 with PID 8808 (D:\kuyejin\team_pro5\team25\build\classes\java\main started by db400tea in D:\kuyejin\team_pro5\team25)
2023-11-20 09:27:25.845 INFO  [restartedMain] [com.shop.ShopApplication] - No active profile set, falling back to 1 default profile: "default"
2023-11-20 09:27:25.986 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
